Power_Station,Records,Programme_avg,Actual_avg,Programme_sum,Actual_sum,Generation_Difference_avg,Excess_Shortfall_avg,Total_Maintenance_avg,Forced_Maintenance_avg,Available_Capacity_sum,Programme_Achievement_pct,Capacity_Utilization_pct,Deviation_pct,Maintenance_Impact_Index_pct
LVS POWER,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,,0.0,,0.0
LVTPL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
MADURAI P,2.0,0.0,0.35,0.0,0.7,0.35,0.35,0.0,0.0,212.0,,0.330188679245283,,0.0
MBPC,315.0,1.1726031746031746,1.3010476190476192,369.37,409.83000000000004,0.12844444444444444,0.1284444444444444,17.57777777777778,2.1523809523809523,29267.0,110.95378617646263,1.4003143472170023,10.953786176462636,15.909090909090908
MBPMPL,1519.0,18.27752468729427,19.080276497695856,27763.559999999998,28982.940000000002,0.8027518104015797,0.8027518104015801,150.8887425938117,128.3739302172482,1593600.0,104.3920160094743,1.8187085843373494,4.392016009474307,12.574061882817645
MCCPL,996.0,5.771465863453814,6.063975903614458,5748.379999999999,6039.72,0.2925100401606426,0.2925200803212852,16.566265060240966,14.759036144578314,282300.0,105.06821052192097,2.1394686503719447,5.068210521920977,5.522088353413655
MEL,227.0,1.1135682819383261,2.772643171806167,252.78000000000003,629.3899999999999,1.6590748898678416,1.6590748898678416,134.80176211453744,134.80176211453744,37500.0,248.98726165044692,1.6783733333333328,148.98726165044695,44.93392070484582
MPCL,833.0,1.1414645858343337,1.095750300120048,950.8399999999999,912.76,-0.045714285714285714,-0.045726290516206476,0.7743097238895558,0.0,70993.0,95.99512010432882,1.2857042243601482,-4.004879895671189,0.900360144057623
MPL,931.0,19.73096670247046,19.72205155746509,18369.53,18361.23,-0.008915145005370276,-0.008936627282491998,105.45112781954887,51.31578947368421,879375.0,99.95481648142331,2.087986353944563,-0.04518351857668255,10.04296455424275
MUNPL,983.0,15.088779247202442,16.51508646998983,14832.27,16234.33,1.4263072227873859,1.4263072227873856,218.88097660223804,207.46693794506612,854700.0,109.452767512997,1.8994185094185094,9.452767512996996,20.11104256631709
NALCO,382.0,0.4202879581151832,0.5898167539267016,160.54999999999998,225.31,0.1695287958115183,0.1694240837696335,0.0,0.0,0.0,140.33634381812521,,40.33634381812521,
NDPL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,108.0,,0.0,,50.0
NEEPCO.,1853.0,20.887161359956824,19.404927145169996,38703.909999999996,35957.33,-1.4822342147868321,-1.4822450080949812,341.3808418780356,211.60760928224502,2492462.3,92.90361103051346,1.4426428837058038,-7.096388969486532,20.24225282164298
NHDC,1820.0,8.273945054945054,9.263802197802198,15058.579999999998,16860.12,0.9898571428571427,0.9898681318681317,68.03021978021978,2.618131868131868,2642585.0,111.96354503545487,0.6380161849098515,11.963545035454876,4.475672353961828
NHPC,4418.0,27.195808057944767,26.565753734721593,120151.07999999999,117367.5,-0.6300543232231777,-0.6300452693526483,432.265504753282,31.400000000000002,7984763.800000001,97.68326676714018,1.4698931983435752,-2.3167332328598187,19.30109181323208
